foursquare_id,ll,venue_ll,name,address,category
5c33ed11a4ba7c003963dee4,"43.665269,-79.319796","43.672141,-79.322081",Indian Rasoi,1437 Gerrard St E,Indian Restaurant
56c74301cd10bfc2df6b8ff0,"43.665269,-79.319796","43.672398,-79.320859",Two Headed Dog,1469 Gerrard St E,Gastropub
b1cd4b5c00534805fd8d8aee,"43.665269,-79.319796","43.665536,-79.3187",Mascotts,1555 Queen St E,Music Venue
1443f2d321c645e20d2a246e,"43.665269,-79.319796","43.664472,-79.313202",Woodbine Park,1661 Queen St E,Park
f90c1039797f4e681699e214,"43.665269,-79.319796","43.666871,-79.31185",Woodbine Park,1695 Queen St E,Park
803b9e40a5c545f2096bf30c,"43.665269,-79.319796","43.663877,-79.328492",Jules Bistro Leslieville Toronto,1290 Queen St E,Restaurant
5753753b498eeb535c53aed5,"43.67142,-79.445947","43.669324,-79.439163",The Greater Good Bar,229 Geary Ave,Bar
4b5c7ad5f964a520df3129e3,"43.67142,-79.445947","43.676486,-79.448732",Tre Mari Bakery,1311 Saint Clair Ave W,Bakery
5a5659ab17556229a036b74a,"43.67142,-79.445947","43.669358,-79.4387",Parallel,217 Geary Ave,Middle Eastern Restaurant
4ad4c060f964a52063f720e3,"43.67142,-79.445947","43.677834,-79.442586",Marcello's Pizzeria,1163 Saint Clair Ave W,Pizzeria
4b81a826f964a520c9b530e3,"43.67142,-79.445947","43.67738,-79.44649",Rio 40 Restaurant,1256 Saint Clair Ave W,Brazilian Restaurant
4fef6339e4b0caa9ac6d011e,"43.67142,-79.445947","43.677803,-79.444546",King's Tacos,1216 Saint Clair Ave W,Mexican Restaurant
4dd5dc2445ddced820612749,"43.67142,-79.445947","43.677961,-79.443916",Pizza e Pazzi,1182 Saint Clair Ave W,Pizzeria
4f14a5cbe4b072565fe420b4,"43.67142,-79.445947","43.677552,-79.445675",California Sushi,1238 Saint Clair Ave W,Sushi Restaurant
4ad4c05ef964a520ccf620e3,"43.67142,-79.445947","43.67369,-79.45165",Earlscourt Park,1200 Lansdowne Ave,Park
4fc67d32e4b0b0e32cca5b24,"43.67142,-79.445947","43.673012,-79.440175",The Sovereign,1359 Davenport Rd,Café
4d2f9b6282fd548180aeaba8,"43.67142,-79.445947","43.676786,-79.449247",Frank's Pizza House,1352 St Clair Ave W,Pizzeria
4c3362df452620a1e87d230f,"43.67142,-79.445947","43.670001,-79.437587",Nova Era Bakery,200 Geary Ave,Bakery
4da781ab0cb65e9aae54e9ea,"43.67142,-79.445947","43.671997,-79.44946",Earlscourt Park Off-Leash Area,1200 Lansdowne Ave,Dog Park
4b75eb65f964a520dc2e2ee3,"43.67142,-79.445947","43.666283,-79.449291",Boulderz Climbing Centre,1444 Dupont St,Rock Climbing Spot
4b6cbb62f964a520fb4f2ce3,"43.67142,-79.445947","43.676473,-79.448917",La Bruschetta Restaurant,1317 Saint Clair Ave W,Italian Restaurant
5069b6cbe4b0d34396cab1ea,"43.67142,-79.445947","43.67169,-79.446745",Primrose Avenue Parkette,120 Primrose Ave,Playground
5066fc5be4b01301ebf02337,"43.67142,-79.445947","43.671077,-79.448985",Davenport Village in Toronto,Address not available,Park
5fe4bf11ec39e873a5811659,"43.67142,-79.445947","43.669582,-79.448698",Century Park Tavern,33 Powerhouse St,Pub
531cb63e498e0ba3d0d53484,"43.67142,-79.445947","43.670728,-79.442241",Chandos Park North,75 Lightbourne Ave,Park
4bb2941814cfd13a8e2915ab,"43.67142,-79.445947","43.669161,-79.442176",Morning Star Restaurant,310 Geary Ave,Diner
60f5ab4d11344f4a7c780a9d,"43.67142,-79.445947","43.669319,-79.441547",Man vs Fries,300 Geary Ave,Fast Food Restaurant
8a8c9601e8b9496e7747f6fc,"43.67142,-79.445947","43.669319,-79.441547",MrBeast Burger,300 Geary Ave,Restaurant
531cb8bc498ed8c755273cf1,"43.67142,-79.445947","43.67071,-79.438637",Bristol Avenue Parkette,25 Bristol Ave,Park
4da12cd2bf22a143a77a96f8,"43.67142,-79.445947","43.66607,-79.445281",Night Stroll,Address not available,Dog Park
59052eee9e3b6551b1999e52,"43.67142,-79.445947","43.676203,-79.449528",Don Quixote Restaurant,1331 St Clair Ave W,Portuguese Restaurant
59342f6fe65d0c46298b3688,"43.67142,-79.445947","43.676314,-79.449546",Black Bull Tavern,1335 St Clair Ave W,Bar
4e14f30a1f6e29fb7d4c25b4,"43.67142,-79.445947","43.676242,-79.449768",BIG Boss Burrito Lovers,1345 St Clair Ave W,Fast Food Restaurant
62dc5c20e88f9b2583eedd18,"43.67142,-79.445947","43.669822,-79.438494",Paradise Grapevine Winery,218 Geary Ave,Wine Bar
5f6284f84328ce2c230bf193,"43.67142,-79.445947","43.675939,-79.450842",Rain Sushi,1353 St Clair Ave W,Sushi Restaurant
4e8f8d4802d5ee38b66dd1b9,"43.67142,-79.445947","43.676063,-79.450675",241 Pizza,1349 Saint Clair Ave W,Pizzeria
5d327528ff915b000754dc82,"43.67142,-79.445947","43.677241,-79.444549",Kaito Sushi,1211 St Clair Ave W,Sushi Restaurant
5c4e727db1538e002c85063b,"43.67142,-79.445947","43.677168,-79.447859",El Sazon Mexicano,1284 St Clair Ave W,Mexican Restaurant
5cc3b2238c35dc00397c0392,"43.67142,-79.445947","43.6767,-79.449655",Mercado Negro,1370 St Clair Ave W,Portuguese Restaurant
56426e64498edd7c54427e43,"43.67142,-79.445947","43.677267,-79.447267",Earlscourt BBQ,1278 St Clair Ave W,BBQ Joint
fac1655343094b758379ac87,"43.67142,-79.445947","43.677517,-79.443845",Spielhaus Board Game Cafe L.L.B.O,1187 St Clair Ave W,Restaurant
65715d31f017e723ccdb8eca,"43.67142,-79.445947","43.677728,-79.444997",Savor Thai,1226 St Clair Ave W,Thai Restaurant
5aa079b38fb09e1b0653ef75,"43.67142,-79.445947","43.665712,-79.450181",Defina Wood Fired,1485 Dupont St,Italian Restaurant
8fd85b766ba04f78c781a9a0,"43.67142,-79.445947","43.668819,-79.437632",Casa Do Alentejo Community Centre,1130 Dupont St,Night Club
5d8fb980b28bee0008c1224f,"43.67142,-79.445947","43.677702,-79.442846",Popeye's Louisiana Kitchen,1167 St Clair Ave W,Fried Chicken Joint
507f05e9e4b08ec3d1988654,"43.67142,-79.445947","43.669767,-79.436942",Newport Fish & Seafood,181 Geary Ave,Seafood Restaurant
bcb96d050a035e8ae50dfa55,"43.67142,-79.445947","43.677782,-79.442531",M & M Food Market,1169 St Clair Ave W,Restaurant
610d1ba1a15e586df5653713,"43.67142,-79.445947","43.677847,-79.442401",El Tren Latino,1157 St Clair Ave W,Bar
4c96983af244b1f70ed7351d,"43.67142,-79.445947","43.677675,-79.443216",Church's Chicken,1171 St Clair Ave W,Fried Chicken Joint
4b770d2bf964a52046782ee3,"43.67142,-79.445947","43.678113,-79.443379",McDonald's,1168 St Clair Ave W,Burger Joint
5d3dcd6d833342843e354afc,"43.67142,-79.445947","43.668607,-79.444379",Geary Lane,360 Geary Ave,Music Venue
9f3086825b6a4802b0921a90,"43.67142,-79.445947","43.677088,-79.445881",Boteco Bar,1245 St Clair Ave W,Bar
d00adae4cb93469222f71c3a,"43.67142,-79.445947","43.677122,-79.447711",Rockeat,1286 St Clair Ave W,Restaurant
4729a9cc820c4c562830bb7c,"43.67142,-79.445947","43.676786,-79.449247",Frank's Pizza House,1352 Saint Clair Ave W,Pizzeria
83397579c7254c817eba9ea2,"43.67142,-79.445947","43.675747,-79.451934",Giovanni Caboto Swimming Pool,1367 Saint Clair Ave W,Park
5957bd26d1a40251f53875e5,"43.666224,-79.317693","43.672563,-79.319341",Godspeed Brewery,242 Coxwell Ave,Bar
4ad4c05ef964a520bef620e3,"43.666224,-79.317693","43.661719,-79.310897",Ashbridge's Bay Park,Ashbridge's Bay Park Rd,Park
5c4228e1e17910002cd1a07e,"43.666224,-79.317693","43.67272,-79.319506",Glory Hole Doughnuts,1505 Gerrard St E,Bagel Shop
4bf5bb014d5f20a1cc0798fe,"43.666224,-79.317693","43.662471,-79.3098",Beach Volleyball,Address not available,Beach
4afc9816f964a520312422e3,"43.666224,-79.317693","43.672278,-79.322523",Motimahal Restaurant Ltd,1422 Gerrard St E,Indian Restaurant
54b47574498e6b087d957fa2,"43.666224,-79.317693","43.672514,-79.321578",Eulalie's Corner Store,1438 Gerrard St E,Bar
4b12cd56f964a5206d8e23e3,"43.666224,-79.317693","43.673316,-79.318244",Occasions Restaurant,30 Eastwood Rd,Restaurant
4ea9b2c0cc217eb08e070a93,"43.666224,-79.317693","43.672661,-79.319544",Lazy Daisy's Cafe,1515 Gerrard St E,Café
5186fe05498e818203c47a7c,"43.666224,-79.317693","43.673164,-79.319576",Subway,274 Coxwell Ave,Deli
4d8d278a1d06b1f712942a3b,"43.666224,-79.317693","43.672258,-79.322801",Gautama,1416 Gerrard St E,Indian Restaurant
4dbc29f86a23e294ba26860f,"43.666224,-79.317693","43.662725,-79.310168",Breakfast Club,1681 Lake Shore Blvd E,Fast Food Restaurant
60ef0fcd913ed512035827d0,"43.666224,-79.317693","43.662575,-79.30991",Toronto Beach Club,1681 Lake Shore Blvd E,Seafood Restaurant
50d8aa0a498e6fa64475bc90,"43.666224,-79.317693","43.672928,-79.319726",The Pantry,1620 Gerrard St E,Restaurant
6045b791b4cdca5ca2a43653,"43.666224,-79.317693","43.673105,-79.319614",Country Thai Food & Fried Chicken,270 Coxwell Ave,Fried Chicken Joint
4ad4c062f964a520b5f720e3,"43.653236,-79.376716","43.653187,-79.37925",Elgin & Winter Garden Theatre Ctr,189 Yonge St,Music Venue
574ad72238fa943556d93b8e,"43.653236,-79.376716","43.651596,-79.374936",Gyu-Kaku BBQ,81 Church St,BBQ Joint
506db1a9e4b0a3f3b31412f0,"43.653236,-79.376716","43.65151,-79.379223",Richmond Station,1 Richmond St W,American Restaurant
4ad4c061f964a520b3f720e3,"43.653236,-79.376716","43.654096,-79.379167",Massey Hall,178 Victoria St,Concert Hall
514627d1e4b0dba1b85e9ba8,"43.653236,-79.376716","43.651132,-79.379023",Dineen Coffee Co,140 Yonge St,Café
4b49183ff964a520a46526e3,"43.653236,-79.376716","43.650818,-79.375607",Terroni,57A Adelaide St E,Pizzeria
529e7344498e18bff5e60191,"43.653236,-79.376716","43.653229,-79.374868",The Carbon Bar,99 Queen St E,Restaurant
4ad4c062f964a520c5f720e3,"43.653236,-79.376716","43.655304,-79.379546",Royal Alexandra Theatre,260 King St W,Theater
57d0a3fb498e0fb29e892eed,"43.653236,-79.376716","43.651907,-79.379941",Leña Restaurante,176 Yonge St,South American Restaurant
4b5ca7d8f964a5207c3c29e3,"43.653236,-79.376716","43.649463,-79.377261",Beer Bistro,18 King St E,Bistro
56d4d1b3cd1035fe77e1492c,"43.653236,-79.376716","43.657243,-79.376021",Page One Cafe,106 Mutual St,Café
509e9ef6e4b0ab175389a6c5,"43.653236,-79.376716","43.656294,-79.377506",Hokkaido Ramen Santouka,91 Dundas St E,Ramen Restaurant
5b73693c31fd14002c5ab73c,"43.653236,-79.376716","43.652417803950684,-79.3834787607193",City of Toronto Sign,Address not available,Monument
4ad4c060f964a5207cf720e3,"43.653236,-79.376716","43.650598,-79.381743",John & Sons Oyster House,56 Temperance St,Seafood Restaurant
601d14d442fb60302fae8306,"43.653236,-79.376716","43.6502,-79.37794",CRAFT Beer Market Toronto,1 Adelaide St E,Beer Bar
4ad4c05ef964a520a6f620e3,"43.653236,-79.376716","43.652128,-79.383856",Nathan Phillips Square,100 Queen St W,Plaza
4ad4c05ef964a5208ef620e3,"43.653236,-79.376716","43.652289,-79.381638",Old City Hall,100 Queen St W,Monument
5615b6c4498e3c32c67ad78f,"43.653236,-79.376716","43.656609,-79.380128",Blaze Pizza,10 Dundas St E,Pizzeria
4ad4c062f964a520fbf720e3,"43.653236,-79.376716","43.648637,-79.371614",St. Lawrence Market Outdoor Vendors,93 Front St E,Restaurant
50b7c53616485cd9efad60d5,"43.653236,-79.376716","43.648593,-79.374552",Sukho Thai,52 Wellington St E,Thai Restaurant
4ad8cd16f964a520c91421e3,"43.653236,-79.376716","43.65602,-79.380502",Yonge-Dundas Square,40 Dundas St W,Plaza
4bb79860cf2fc9b616779e02,"43.653236,-79.376716","43.648089,-79.375313",Berczy Park,35 Wellington St E,Urban Park
57963897498e6873394a559d,"43.653236,-79.376716","43.65123,-79.375345",Versus Coffee,70 Adelaide St E,Coffee Shop
55be4bd4498e08d9ccc061e4,"43.653236,-79.376716","43.650673,-79.369086",Neo Coffee Bar,161 Frederick St,Café
59ab10e242d8c27897e996cb,"43.653236,-79.376716","43.648067,-79.375244",Dog Fountain,35 Wellington St E,Fountain
55fc571f498ec35023360858,"43.653236,-79.376716","43.649332,-79.381825",Cactus Club Cafe,77 Adelaide St W,American Restaurant
4ad69511f964a520e40721e3,"43.653236,-79.376716","43.650038,-79.384038",The Keg Steakhouse + Bar,165 York St,Steakhouse
4d306dd82748b60c62b6dba0,"43.653236,-79.376716","43.654458,-79.381142",Trattoria Mercatto,220 Yonge St,Restaurant
4ad4c05df964a52059f620e3,"43.653236,-79.376716","43.647015,-79.38113",Canoe Restaurant & Bar,66 Wellington St W,Restaurant
4bd8cde92e6f0f47dcb20808,"43.653236,-79.376716","43.65103,-79.380908",Hy's Steakhouse & Cocktail Bar,120 Adelaide St W,Steakhouse
4ad4c062f964a520e5f720e3,"43.653236,-79.376716","43.650665,-79.38547",The Four Seasons Centre for the Performing Arts,145 Queen St W,Music Venue
4b56a44ff964a5206e1728e3,"43.653236,-79.376716","43.646718,-79.374862",The Keg Steakhouse + Bar,26 the Esplanade,Steakhouse
4adc9148f964a520512d21e3,"43.653236,-79.376716","43.656829,-79.380958",Chipotle Mexican Grill,323 Yonge St,Fast Food Restaurant
4bb3b268eb3e9521cd82cb0a,"43.653236,-79.376716","43.650259,-79.374022",Cathedral Church of St. James,106 King St,Church
4ab2b0b9f964a520e56b20e3,"43.653236,-79.376716","43.65738,-79.38343",The Queen and Beaver Public House,35 Elm St,Bar
4ad4c05cf964a520e3f520e3,"43.653236,-79.376716","43.648393,-79.373445",C'est What,67 Front St E,Beer Bar
5a8f505eb6eedb5c284a78ad,"43.653236,-79.376716","43.6475,-79.379567",Walrus Pub & Beer Hall,187 Bay St,Pub
5064c3dde4b07c5a18986283,"43.653236,-79.376716","43.65711,-79.380956",Five Guys Burgers & Fries,329 Yonge St,Burger Joint
5a4fdf56772fbc5e9fa73c7f,"43.653236,-79.376716","43.646437,-79.378743",Chotto Matte,161 Bay St,Japanese Restaurant
4ad4c061f964a52095f720e3,"43.653236,-79.376716","43.657618,-79.381691",Salad King,340 Yonge St,Fast Food Restaurant
59603f86112c6c70931c9401,"43.653236,-79.376716","43.648972,-79.381718",King Taps,100 King St W,Gastropub
4c9cd4d37c096dcb9034c5d1,"43.653236,-79.376716","43.655035,-79.380158",Paramount Fine Foods,253 Yonge St,Lebanese Restaurant
536fd522498e09c6690800e2,"43.653236,-79.376716","43.648434,-79.372096",Balzacs Coffee Ltd,10 Market St,Café
5022a0cde4b0c3bc4aff8d5c,"43.653236,-79.376716","43.651856,-79.368245",The Black Canary Espresso Bar,61 Sherbourne St,Café
4df909dfe4cd2129701c0690,"43.653236,-79.376716","43.655861,-79.381926",JOEY Eaton Centre,1 Dundas St W,New American Restaurant
4ae73054f964a5203ca921e3,"43.653236,-79.376716","43.647128,-79.379274",Ki Modern Japanese + Bar,181 Bay St,Bar
4ad4c062f964a520b8f720e3,"43.653236,-79.376716","43.646226,-79.376232",Meridian Hall,1 Front St E,Concert Hall
50bd1248e4b0382138bdd292,"43.653236,-79.376716","43.647128,-79.379274",iQ Food Co,181 Bay St,Fast Food Restaurant
4a9f21c0f964a520a63c20e3,"43.653236,-79.376716","43.655472,-79.380321",The 3 Brewers,275 Yonge St,Beer Bar
4ada04eff964a520571d21e3,"43.653236,-79.376716","43.654436,-79.379128",Fran's Restaurant,200 Victoria St,Diner
4b654efaf964a520aeec2ae3,"43.663722,-79.380288","43.664198,-79.379979",Black Eagle,457 Church St,Gay Bar
4ad887d2f964a520111221e3,"43.663722,-79.380288","43.66299,-79.3796",Hair of the Dog,425 Church St,Gay Bar
4ad88725f964a5200d1221e3,"43.663722,-79.380288","43.664459,-79.380255",Woody's,467 Church St,Gay Bar
4ab17387f964a520866920e3,"43.663722,-79.380288","43.66457,-79.380272",Churchmouse & Firkin,475 Church St,Pub
5bd2379cbcbf7a0039a2d7b9,"43.663722,-79.380288","43.666761,-79.38179",Storm Crow Manor,580 Church St,Bar
4c193c77838020a1e768e561,"43.663722,-79.380288","43.663917,-79.379982",Kawa Sushi,451 Church St,Sushi Restaurant
4bb942a7cf2fc9b6596ca002,"43.663722,-79.380288","43.666818,-79.378075",The Keg Steakhouse & Bar,515 Jarvis St,Steakhouse
4c3069603896e21eb882e590,"43.663722,-79.380288","43.662146,-79.377315",Golden Greek,105 Carlton St,Diner
4b2bd898f964a52042bc24e3,"43.663722,-79.380288","43.660458,-79.378917",Kinka Izakaya,398 Church St,Japanese Restaurant
4b919f56f964a520a4ca33e3,"43.663722,-79.380288","43.665614,-79.380579",Hero Certified Burgers,77 Wellesley St E,Burger Joint
4ad4c05cf964a52012f620e3,"43.663722,-79.380288","43.665118,-79.380453",Pegasus on Church,489B Church St,Pool Hall
59ecf741da2e006b9e11a3d3,"43.663722,-79.380288","43.665748,-79.385698",The Alley,5 St Joseph St,Bubble Tea Shop
4b5c9a06f964a5202d3929e3,"43.663722,-79.380288","43.661837,-79.374601",Allan Gardens Conservatory,19 Horticultural Ave,Urban Park
4c24fab0a852c928070de46c,"43.663722,-79.380288","43.662046,-79.374821",Allan Gardens Conservatory,19 Horticultural Ave,Garden
4c030bf9f423a5938bc3cf16,"43.663722,-79.380288","43.666606,-79.38083",Barbara Hall Park,519 Church St,Urban Park
50e8b903e4b04fa56858ecfe,"43.663722,-79.380288","43.663581,-79.370669",Zakkushi,193 Carlton St,BBQ Joint
52d884c5498ecf5c7cafe5ab,"43.663722,-79.380288","43.661815,-79.386521",Nando's Peri-Peri,832 Bay St,Portuguese Restaurant
537d4d6d498ec171ba22e7fe,"43.663722,-79.380288","43.658525,-79.385436",Jimmy's Coffee,84 Gerrard St W,Café
63f046aee801f30bf01b0241,"43.663722,-79.380288","43.665644,-79.385587",Lao Lao Bar,5 St. Joseph St,Asian Restaurant
557231e3498e540f05f3083c,"43.663722,-79.380288","43.658539,-79.385251",Tim Hortons,70 Gerrard St W,"Cafe, Coffee, and Tea House"
569e7814498e1a7f3e01bfe4,"43.663722,-79.380288","43.669586,-79.379995",Rooster Coffee House,568 Jarvis St,Café
590a649bdee77071100a6a15,"43.663722,-79.380288","43.664218,-79.38667",Coffee Island,925 Bay St,Café
54121f6a498e0aefc0da0ac9,"43.663722,-79.380288","43.668166,-79.38178",Church Street Espresso,585 Church St,Café
4a8355bff964a520d3fa1fe3,"43.663722,-79.380288","43.659865,-79.388642",Mercatto,101 College St,Italian Restaurant
4ae787b9f964a52020ac21e3,"43.663722,-79.380288","43.668996,-79.385046",Tokyo Kitchen,20 Charles St E,Diner
4af1b6e5f964a5206be221e3,"43.663722,-79.380288","43.661409,-79.383604",W Burger Bar,10 College St,Burger Joint
4a72360ef964a52098da1fe3,"43.663722,-79.380288","43.666761,-79.385672",Ethiopian House Restaurant,4 Irwin Ave,Diner
5acd155ea879216dfece538d,"43.663722,-79.380288","43.668531,-79.385252",Constantine,15 Charles St E,Greek Restaurant
4bc91845cc8cd13a7d19bbcf,"43.663722,-79.380288","43.664217,-79.380497",Crews & Tangos,508 Church St,Night Club
4ad4c062f964a520cbf720e3,"43.663722,-79.380288","43.664604,-79.37387",Phoenix Concert Theatre,410 Sherbourne St,Music Venue
4ad7a7b6f964a520520d21e3,"43.663722,-79.380288","43.663193,-79.382999",Buddies in Bad Times Theatre,12 Alexander St,Music Venue
4a88a344f964a520400720e3,"43.663722,-79.380288","43.664491,-79.380587",O'Grady's Restaurant,518 Church St,Bar
6300290128e4650319d826c4,"43.663722,-79.380288","43.658218,-79.381927",Congee Queen 皇后名粥,360 Yonge St,Cantonese Restaurant
4adf45d4f964a520fb7821e3,"43.663722,-79.380288","43.668248,-79.386844",Okonomi House Restaurant,23 Charles St W,Japanese Restaurant
4ae1296df964a5208c8521e3,"43.663722,-79.380288","43.661317,-79.384103",Fran's Restaurant,20 College St,Diner
4ad4c060f964a52086f720e3,"43.663722,-79.380288","43.66849,-79.386602",7 West Cafe,7 Charles St W,Café
4c8facf91664b1f79c90aa2f,"43.663722,-79.380288","43.659253,-79.383915",College Park Area,College St,Park
4fb13c20e4b011e6f93513c0,"43.663722,-79.380288","43.658008,-79.379415",Balzacs Coffee,122 Bond St,Café
599cb69eb5461876d54ab713,"43.663722,-79.380288","43.659955,-79.378884",Katsuya,66 Gerrard St E,Japanese Restaurant
4b22f578f964a5201c5124e3,"43.663722,-79.380288","43.669986,-79.376037",Gabby's,556 Sherbourne St,Bar
5a62412b1108ba191da5ba06,"43.663722,-79.380288","43.657614,-79.384075",Kaka,655 Bay St,Japanese Restaurant
543da069498e0fa6d2895ab4,"43.663722,-79.380288","43.658493,-79.382017",Thai on Yonge,370 Yonge St,Thai Restaurant
4ad7b28ef964a520c60d21e3,"43.663722,-79.380288","43.665035,-79.383152",Fox and Fiddle,27 Wellesley St E,Karaoke Bar
4ad9ffbbf964a520091d21e3,"43.663722,-79.380288","43.656641,-79.38046",Jack Astor's,10 Dundas St E,Restaurant
5a6b737b35f98359eed11974,"43.657763,-79.389165","43.654316,-79.390843",The Library Specialty Coffee,281 Dundas St W,Coffee Shop
4f513029e4b07c3382c9fdb9,"43.657763,-79.389165","43.654736,-79.389695",Cafe Plenty,250 Dundas St W,Fast Food Restaurant
4b9d206bf964a520e69136e3,"43.657763,-79.389165","43.663742,-79.392075",Queen's Park,111 Wellesley St W,Park
4ad9f607f964a520691c21e3,"43.657763,-79.389165","43.653781,-79.390478",Manpuku まんぷく,Address not available,Japanese Restaurant
504bbf2ce4b0168121235cbe,"43.657763,-79.389165","43.65503,-79.386422",Sansotei Ramen,179 Dundas St W,Ramen Restaurant
4ae3398ff964a520ed9121e3,"43.657763,-79.389165","43.656191,-79.383568",Red Lobster,20 Dundas St E,Italian Restaurant
4ad7bf71f964a5205b0e21e3,"43.657763,-79.389165","43.654588,-79.391728",Sin and Redemption,136 McCaul St,Bar
5d782433f6e3190008b1a914,"43.657763,-79.389165","43.655187,-79.385793",Gyubee Japanese Grill,157 Dundas St W,Japanese Restaurant
54238a83498e5efd4a50435b,"43.657763,-79.389165","43.658801,-79.394784",Prenup Pub,191 College St,Bar
58e91d60e0adac258fcea481,"43.657763,-79.389165","43.656805,-79.383619",GB Hand-Pulled Noodles,66 Edward St,Chinese Restaurant
4fad7406be773af34ad09cca,"43.657763,-79.389165","43.655786,-79.393789",Kinton Ramen,51 Baldwin St,Ramen Restaurant
5cb0d23175dcb7002cb5e3ad,"43.657763,-79.389165","43.655819,-79.393327",Koh Lipe Thai Kitchen,35 Baldwin St,Thai Restaurant
